Point,Longitude,Latitude,Ellh
N.1,32.73354064,39.86562724,1057.56
N.2,32.73365892,39.86585727,1056.789
N.3,32.73425323,39.86548279,1057.869
N.4,32.73362698,39.86528995,1059.15
N.5,32.73433687,39.86516302,1061.77
N.6,32.73511185,39.86570292,1062.24
N.7,32.73426472,39.86582089,1057.387
N.8,32.73526937,39.86444101,1065.078
N.9,32.7334857,39.86432254,1063.834
N.10,32.73321301,39.86258051,1066.435
N.11,32.73528313,39.8625851,1071.366
N.12,32.73771934,39.86296941,1068.379
N.13,32.73782664,39.86171604,1072.903
N.14,32.73981314,39.86207792,1072.78
N.15,32.74015375,39.86315919,1065.82
N.16,32.73844013,39.86488971,1062.098
N.17,32.73723551,39.8650501,1063.76
N.18,32.73648084,39.86454931,1066.073
N.19,32.73715263,39.86658343,1057.128
N.20,32.73799656,39.86762056,1051.151
N.21,32.73767819,39.86870873,1048.186
N.22,32.73609951,39.86838013,1048.244
N.23,32.73416483,39.86831047,1046.013
N.24,32.73312655,39.86865255,1047.169
N.25,32.73311159,39.87053573,1038.59
N.26,32.73312166,39.87195184,1036.418
N.27,32.73394624,39.87257719,1031.772
N.28,32.73561687,39.87316949,1024.897
N.29,32.73680795,39.87390692,1028.898
N.30,32.73774517,39.87375851,1027.778
N.31,32.73828692,39.87303205,1029.471
N.32,32.73825632,39.87187741,1035.895
N.33,32.73805126,39.87044842,1041.782
N.34,32.73605011,39.87039275,1038.513
N.35,32.73513046,39.87058994,1035.313
N.36,32.73998187,39.86138967,1074.737
N.37,32.73676205,39.87198694,1036.12
N.38,32.73602688,39.87205694,1032.285
N.39,32.7348862,39.87177233,1027.892
N.40,32.73340126,39.87332086,1028.887
N.41,32.73188894,39.87309364,1023.048
N.42,32.72993483,39.87251861,1005.645
N.43,32.72946032,39.87426369,1001.994
N.44,32.73044119,39.8716528,1009.96
N.45,32.73082368,39.8706667,1016.534
N.46,32.73067161,39.86954639,1023.14
N.47,32.73130804,39.86897853,1025.42
N.48,32.73069526,39.86873754,1031.975
N.49,32.73032308,39.86813473,1039.2
N.50,32.73024028,39.86709543,1047.905
N.51,32.73060354,39.86659087,1049.488
N.52,32.73180559,39.86637863,1043.311
N.53,32.73161329,39.8675828,1034.328
N.54,32.7331464,39.86744294,1050.38
N.55,32.73315893,39.86693738,1051.856
N.56,32.73585839,39.86934529,1045.174
N.57,32.73559464,39.8667878,1053.534
N.58,32.73623592,39.86717939,1053.404
N.59,32.73790977,39.86349628,1064.486
N.60,32.73874261,39.8672512,1046.811
N.61,32.73976642,39.86595516,1047.897
N.62,32.73967669,39.86532848,1047.98
N.63,32.74072614,39.86503926,1046.787
N.64,32.73363457,39.86124269,1068.08
N.65,32.73203419,39.86225979,1062.364
N.66,32.73099442,39.8639177,1059.701
N.67,32.72952145,39.86563839,1052.123
N.68,32.72898591,39.869922,1027.149
N.69,32.72862049,39.87097115,1017.987
N.70,32.72805826,39.8737148,1029.898
N.71,32.72844262,39.87507411,1025.215
N.72,32.73228745,39.87404471,1021.685
N.73,32.73281057,39.88021879,1010.837
N.74,32.7346631,39.88067714,1001.803
N.75,32.73456301,39.88201584,1001.094
N.76,32.73309872,39.88261073,997.18
N.77,32.73475678,39.88417609,987.202
N.78,32.73465305,39.88544875,969.645
N.79,32.73548419,39.88448422,973.962
N.80,32.73595219,39.88624154,952.103
N.81,32.73596065,39.88108124,965.138
N.82,32.73588552,39.87942559,977.909
N.83,32.73548929,39.877359,990.583
N.84,32.73684629,39.87760999,992.878
N.85,32.73733421,39.87560942,1004.863
N.86,32.73498664,39.87705733,1002.034
N.87,32.7369364,39.88536419,942.151
N.88,32.73366911,39.89660485,911.276
N.89,32.73489215,39.87662525,1004.919
N.90,32.73383557,39.89424006,913.193
N.91,32.73429986,39.89615254,911.889
N.92,32.720011,39.88793813,976.86
N.93,32.72129253,39.88870701,991.94
N.94,32.7220923,39.88868741,996.18
N.95,32.72249359,39.88858993,994.95
N.96,32.73991562,39.86957973,1017.042
N.97,32.74005028,39.87033674,1011.798
N.98,32.72013819,39.88068312,1011.985
N.99,32.72299565,39.86639171,1023.505
N.100,32.72437581,39.873817,1055.278
N.101,32.72773703,39.87287773,1023.444
N.102,32.72207627,39.87374555,1053.644
N.103,32.7236044,39.86732862,1019.929
N.104,32.7229555,39.87311698,1056.909
N.105,32.72204488,39.8638035,1048.79
N.106,32.72732751,39.86002957,1073.81
N.107,32.72601491,39.87145099,1026.25
N.108,32.72989533,39.86073006,1074.25
N.109,32.72561006,39.87460137,1050.74
N.110,32.72308778,39.8736802,1059.385
N.111,32.73315674,39.89566064,919.11
N.112,32.72922555,39.88970682,968.994
N.113,32.71730868,39.88380151,1006.216
N.114,32.7266626,39.87533095,1046.92
N.115,32.72299735,39.88393663,1031.631
N.116,32.72660844,39.86099961,1066.671
N.117,32.73066549,39.89068257,963.611
